,description_x
2844,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
2845,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
2849,Three sexually frustrated men in their 60s have the adventure of a lifetime after meeting an intriguing young woman during a holiday in Mauritius.
2851,"During their drive across the country, college pals Nick and Jonah – accompanied by Nick's girlfriend – run into major trouble in the Nevada desert."
2857,"Based on the H.G. Wells classic, this adventure follows a scientist and inventor who's determined to prove to doubters that time travel is possible."
2858,"When a move to an exclusive seaside community sends her mother and twin brother into a downward spiral, teenager Medina finds solace in surfing."
2860,A young woman hospitalized for an infected wound becomes possessed by a satanic force that will take a priest and two Vatican exorcists to defeat.
2862,"In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events."
2863,"A disparate group of teenage girls discovers how to obtain supernatural abilities, but abusing their newfound power has disturbing consequences."
2866,"After losing a boxing match, a talented Muay Thai fighter leaves home to train with the best. On his quest, he finds friends, foes and lots of action."
2869,"After moving to a hardscrabble suburban California town, a young woman becomes dangerously entangled with a local drug enterprise."
2873,"While building a revolutionary machine outlined in his late father's journal, a recluse farmer becomes the guardian for his gifted six-year-old nephew."
2875,"A disbanded fraternity tries to get their act together by finding new members, but beer bongs, bad grades and a demented dean stand in their way."
2876,"When a bike messenger falls into debt with organized criminals, a sexy woman draws him into her high-stakes world of parkour, teaching him new skills."
2882,"Three poor Brazilian teens find something suspicious in a garbage heap, then end up on the run from the law as they try to set things right."
2883,"Three poor Brazilian teens find something suspicious in a garbage heap, then end up on the run from the law as they try to set things right."
2885,Surprise news that his girlfriend is pregnant sends loutish Owen on an ill-advised trip to reconnect with his twisted sister and sadistic grandmother.
2888,"After being framed, a policewoman languishing in prison hopes that her three sons will deliver justice and restore her honor."
2889,"To amuse themselves, six college friends decide to pay a visit to a fortress believed by some to be the most haunted place in Asia."
2890,"Starting with the Trojan Horse attack, this modest re-telling of Homer's epic covers well-known highlights of Odysseus's long journey home."
2891,"When a drug kingpin looking to go legit falls for a Philadelphia college student, it doesn't take long for his dangerous world to bleed into her life."
2894,"When a wise-guy podcaster interviews a disabled seafarer, he decides to embark on a transformational quest to track down a dangerous walrus-monster."
2895,"When a wise-guy podcaster interviews a disabled seafarer, he decides to embark on a transformational quest to track down a dangerous walrus-monster."
2896,"A doctor and a drug addict kidnap the son of a local gangster, seeking revenge for the death of a loved one."
2897,A troubled couple living near the North Pole begins a perilous journey south in an attempt to find peace and vanquish ghosts from the past.
2900,"A young woman tracks down the older man who preyed on her as a child, forcing them both to confront the damage done by what happened 15 years earlier."
2901,"Jake's date with his dream girl takes a turn when she disappears, and Jake's grandpa – a former intelligence officer – sets out to find her."
2903,"Ryan Bingham flies around the country firing employees on behalf of companies, but he faces losing the job he savors to recent college grad Natalie."
2905,A police official assembles an elaborate network of spies and undercover operatives to bring down a ruthless bandit with a private army.
2906,"Quick to throw punches in the name of justice, a young man must find a calmer way to win over the pacifist father of the girl he wishes to marry."
2907,"In 1962 Brooklyn, a Puerto Rican teen who joins a gang is seduced by violence and heroin. But can his mother's love and faith in God save him?"
2909,"Framed for her father’s murder, an exiled Viking princess is guided by the god Odin as she prepares to return to her kingdom and reclaim the throne."
